ID,Kerapu,Mujair,Tawes,Kakap,Bandeng,Nila,Belanak,Lainnya
1,23.6,147.3,0,0,1039.1,27.4,0,0.6
2,306.6,131.2,0,0,738.6,127,0,75.8
3,66.7,1734.9,0,0,39545.5,0,695.6,487.7
4,0,0,0,0,4618.7,0,0,501.3
5,0,307.2,0,264.8,723.8,0,400,0
6,0,633.5,0,0,2140,0,418,437
7,0,0,0,0,0,0,0,37.8
8,0,149.1,0,0,368.8,6.5,143.7,47.6
9,0,3748.2,0,0,34561.9,17983.1,0,1604.1
10,0,1506.9,0,0,4518.7,517.7,0,394.3
11,0,5.5,0,3,494.3,0,0,7.1
12,3,131.4,0,2,1465.8,153.6,75.3,9.7
13,0,15.9,0,1.2,143.6,7.5,2.7,0
14,0,7.4,0,0,5.6,5.1,0,0
15,75.6,25.6,0,131.3,141.1,635.9,11,58.1
16,0,0,0,0,8.8,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0
